KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    217.44      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  061212 300  000000-000500   10     226.13  745.5    215.73    -0.80    -9999
KERGUELEN  061212 300  000500-001000   10     225.60  745.5    215.33    -1.00    -9999
KERGUELEN  061212 300  001000-001500   10     221.87  745.5    211.87    -2.60    -9999
KERGUELEN  061212 300  001500-002000   10     223.60  745.6    213.73    -1.70    -9999
KERGUELEN  061212 300  002000-002500   10     224.00  745.6    214.00    -1.60    -9999
KERGUELEN  061212 300  002500-003000   10     224.27  745.7    214.53    -1.30    -9999
KERGUELEN  061212 300  003000-003500   10     225.33  745.6    215.33    -1.00    -9999
KERGUELEN  061212 300  003500-004000   10     225.20  745.5    215.07    -1.10    -9999
KERGUELEN  061212 300  004000-004500   10     225.07  745.4    214.67    -1.30    -9999
KERGUELEN  061212 300  004500-005000   10     226.13  745.3    215.47    -0.90    -9999
KERGUELEN  061212 300  005000-005500   10     228.93  745.2    217.73     0.10    -9999
KERGUELEN  061212 300  005500-010000   10     224.13  745.0    212.93    -2.10    -9999
KERGUELEN  061212 300  010000-010500   10     226.27  744.9    214.67    -1.30    -9999
KERGUELEN  061212 300  010500-011000   10     223.60  745.0    212.53    -2.30    -9999
KERGUELEN  061212 300  011000-011500   10     227.33  745.1    216.13    -0.60    -9999
KERGUELEN  061212 300  011500-012000   10     226.80  745.1    215.60    -0.80    -9999
KERGUELEN  061212 300  012000-012500   10     226.53  745.1    215.33    -1.00    -9999
KERGUELEN  061212 300  012500-013000   10     223.20  745.2    212.40    -2.30    -9999
KERGUELEN  061212 300  013000-013500   10     224.53  745.2    213.73    -1.70    -9999
KERGUELEN  061212 300  013500-014000   10     225.07  745.1    214.00    -1.60    -9999
KERGUELEN  061212 300  014000-014500   10     226.13  745.1    215.07    -1.10    -9999
KERGUELEN  061212 300  014500-015000   10     226.00  745.1    214.80    -1.20    -9999
KERGUELEN  061212 300  015000-015500   10     225.20  745.1    214.13    -1.50    -9999
KERGUELEN  061212 300  015500-020000   10     225.07  745.1    213.87    -1.60    -9999
KERGUELEN  061212 300  020000-020500   10     225.87  745.1    214.80    -1.20    -9999
KERGUELEN  061212 300  020500-021000   10     226.80  745.2    215.87    -0.70    -9999
KERGUELEN  061212 300  021000-021500   10     225.20  745.1    214.13    -1.50    -9999
KERGUELEN  061212 300  021500-022000   10     225.60  745.0    214.40    -1.40    -9999
KERGUELEN  061212 300  022000-022500   10     227.73  744.9    216.00    -0.70    -9999
KERGUELEN  061212 300  022500-023000   10     229.20  744.9    217.47     0.00    -9999
KERGUELEN  061212 300  023000-023500   10     227.47  744.9    215.73    -0.80    -9999
KERGUELEN  061212 300  023500-024000   10     226.93  744.9    215.33    -1.00    -9999
KERGUELEN  061212 300  024000-024500   10     229.07  744.8    217.07    -0.20    -9999
KERGUELEN  061212 300  024500-025000   10     224.93  744.8    213.33    -1.90    -9999
KERGUELEN  061212 300  025000-025500   10     227.33  744.8    215.47    -0.90    -9999
KERGUELEN  061212 300  025500-030000   10     228.93  744.8    217.07    -0.20    -9999
KERGUELEN  061212 300  030000-030500   10     229.07  744.8    217.07    -0.20    -9999
KERGUELEN  061212 300  030500-031000   10     228.93  744.7    216.80    -0.30    -9999
KERGUELEN  061212 300  031000-031500   10     227.33  744.7    215.20    -1.00    -9999
KERGUELEN  061212 300  031500-032000   10     230.40  744.8    218.53     0.50    -9999
KERGUELEN  061212 300  032000-032500   10     228.13  744.8    216.27    -0.50    -9999
KERGUELEN  061212 300  032500-033000   10     229.07  744.7    217.07    -0.20    -9999
KERGUELEN  061212 300  033000-033500   10     228.40  744.8    216.53    -0.40    -9999
KERGUELEN  061212 300  033500-034000   10     228.67  744.9    217.07    -0.20    -9999
KERGUELEN  061212 300  034000-034500   10     230.67  744.9    218.93     0.70    -9999
KERGUELEN  061212 300  034500-035000   10     229.33  744.9    217.60     0.10    -9999
KERGUELEN  061212 300  035000-035500   10     225.73  744.9    214.13    -1.50    -9999
KERGUELEN  061212 300  035500-040000   10     228.00  744.9    216.40    -0.50    -9999
KERGUELEN  061212 300  040000-040500   10     227.87  745.0    216.40    -0.50    -9999
KERGUELEN  061212 300  040500-041000   10     226.93  745.1    215.73    -0.80    -9999
KERGUELEN  061212 300  041000-041500   10     228.00  745.0    216.67    -0.40    -9999
KERGUELEN  061212 300  041500-042000   10     227.33  745.0    216.00    -0.70    -9999
KERGUELEN  061212 300  042000-042500   10     229.20  745.0    217.73     0.10    -9999
KERGUELEN  061212 300  042500-043000   10     228.27  744.9    216.67    -0.40    -9999
KERGUELEN  061212 300  043000-043500   10     229.87  744.9    218.13     0.30    -9999
KERGUELEN  061212 300  043500-044000   10     229.60  744.9    218.00     0.30    -9999
KERGUELEN  061212 300  044000-044500   10     230.67  745.1    219.33     0.90    -9999
KERGUELEN  061212 300  044500-045000   10     230.13  745.1    218.93     0.70    -9999
KERGUELEN  061212 300  045000-045500   10     228.40  745.0    216.93    -0.20    -9999
KERGUELEN  061212 300  045500-050000   10     228.67  744.9    217.07    -0.20    -9999
KERGUELEN  061212 300  050000-050500   10     230.53  744.9    218.80     0.60    -9999
KERGUELEN  061212 300  050500-051000   10     230.80  744.9    219.07     0.70    -9999
KERGUELEN  061212 300  051000-051500   10     234.40  744.9    222.40     2.30    -9999
KERGUELEN  061212 300  051500-052000   10     229.87  745.1    218.67     0.60    -9999
KERGUELEN  061212 300  052000-052500   10     230.67  745.1    219.47     0.90    -9999
KERGUELEN  061212 300  052500-053000   10     229.20  745.1    218.00     0.30    -9999
KERGUELEN  061212 300  053000-053500   10     229.73  745.1    218.40     0.40    -9999
KERGUELEN  061212 300  053500-054000   10     232.80  745.0    221.20     1.70    -9999
KERGUELEN  061212 300  054000-054500   10     231.33  745.1    220.00     1.20    -9999
KERGUELEN  061212 300  054500-055000   10     230.13  745.0    218.53     0.50    -9999
KERGUELEN  061212 300  055000-055500   10     232.00  745.0    220.40     1.40    -9999
KERGUELEN  061212 300  055500-060000   10     231.60  745.0    219.87     1.10    -9999
KERGUELEN  061212 300  060000-060500   10     229.87  745.2    218.67     0.60    -9999
KERGUELEN  061212 300  060500-061000   10     230.93  745.1    219.60     1.00    -9999
KERGUELEN  061212 300  061000-061500   10     232.27  745.1    220.80     1.50    -9999
KERGUELEN  061212 300  061500-062000   10     231.20  745.0    219.60     1.00    -9999
KERGUELEN  061212 300  062000-062500   10     233.87  745.1    222.27     2.20    -9999
KERGUELEN  061212 300  062500-063000   10     232.27  745.2    221.07     1.70    -9999
KERGUELEN  061212 300  063000-063500   10     232.53  745.1    221.07     1.70    -9999
KERGUELEN  061212 300  063500-064000   10     234.13  745.0    222.40     2.30    -9999
KERGUELEN  061212 300  064000-064500   10     232.13  745.0    220.40     1.40    -9999
KERGUELEN  061212 300  064500-065000   10     232.00  744.9    220.00     1.20    -9999
KERGUELEN  061212 300  065000-065500   10     231.47  745.0    219.87     1.10    -9999
KERGUELEN  061212 300  065500-070000   10     231.73  745.2    220.53     1.40    -9999
KERGUELEN  061212 300  070000-070500   10     230.40  745.3    219.60     1.00    -9999
KERGUELEN  061212 300  070500-071000   10     230.40  745.3    219.60     1.00    -9999
KERGUELEN  061212 300  071000-071500   10     229.87  745.4    219.20     0.80    -9999
KERGUELEN  061212 300  071500-072000   10     229.73  745.5    219.33     0.90    -9999
KERGUELEN  061212 300  072000-072500   10     228.67  745.6    218.53     0.50    -9999
KERGUELEN  061212 300  072500-073000   10     231.07  745.6    220.80     1.50    -9999
KERGUELEN  061212 300  073000-073500   10     229.60  745.6    219.47     0.90    -9999
KERGUELEN  061212 300  073500-074000   10     229.87  745.4    219.33     0.90    -9999
KERGUELEN  061212 300  074000-074500   10     231.07  745.5    220.53     1.40    -9999
KERGUELEN  061212 300  074500-075000   10     230.13  745.5    219.73     1.10    -9999
KERGUELEN  061212 300  075000-075500   10     232.40  745.4    221.60     1.90    -9999
KERGUELEN  061212 300  075500-080000   10     231.87  745.5    221.47     1.80    -9999
KERGUELEN  061212 300  080000-080500   10     230.40  745.5    220.00     1.20    -9999
KERGUELEN  061212 300  080500-081000   10     230.13  745.6    220.00     1.20    -9999
KERGUELEN  061212 300  081000-081500   10     228.00  745.6    218.00     0.30    -9999
KERGUELEN  061212 300  081500-082000   10     230.40  745.6    220.27     1.30    -9999
KERGUELEN  061212 300  082000-082500   10     231.87  745.6    221.47     1.80    -9999
KERGUELEN  061212 300  082500-083000   10     232.53  745.5    222.00     2.10    -9999
KERGUELEN  061212 300  083000-083500   10     229.60  745.5    219.20     0.80    -9999
KERGUELEN  061212 300  083500-084000   10     230.67  745.6    220.40     1.40    -9999
KERGUELEN  061212 300  084000-084500   10     231.60  745.6    221.33     1.80    -9999
KERGUELEN  061212 300  084500-085000   10     232.93  745.6    222.53     2.30    -9999
KERGUELEN  061212 300  085000-085500   10     232.80  745.6    222.40     2.30    -9999
KERGUELEN  061212 300  085500-090000   10     232.67  745.6    222.27     2.20    -9999
KERGUELEN  061212 300  090000-090500   10     230.67  745.5    220.27     1.30    -9999
KERGUELEN  061212 300  090500-091000   10     230.53  745.5    220.13     1.20    -9999
KERGUELEN  061212 300  091000-091500   10     231.20  745.7    221.20     1.70    -9999
KERGUELEN  061212 300  091500-092000   10     232.13  745.5    221.60     1.90    -9999
KERGUELEN  061212 300  092000-092500   10     232.00  745.5    221.60     1.90    -9999
KERGUELEN  061212 300  092500-093000   10     231.47  745.5    221.07     1.70    -9999
KERGUELEN  061212 300  093000-093500   10     231.73  745.6    221.47     1.80    -9999
KERGUELEN  061212 300  093500-094000   10     232.27  745.6    222.00     2.10    -9999
KERGUELEN  061212 300  094000-094500   10     233.07  745.6    222.80     2.50    -9999
KERGUELEN  061212 300  094500-095000   10     232.40  745.6    222.00     2.10    -9999
