TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    740     MMHG   COEFFICIENT   -0.99     % / MMHG
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE     98.67      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300      
TERREADELI SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
TERREADELI 010414 300  000000-000500   10     108.47  726.9     95.20    -3.50    -9999
TERREADELI 010414 300  000500-001000   10     109.33  726.9     95.87    -2.80    -9999
TERREADELI 010414 300  001000-001500   10     107.07  726.9     94.00    -4.70    -9999
TERREADELI 010414 300  001500-002000   10     109.27  727.0     95.93    -2.80    -9999
TERREADELI 010414 300  002000-002500   10     109.40  726.9     96.00    -2.70    -9999
TERREADELI 010414 300  002500-003000   10     107.87  726.8     94.53    -4.20    -9999
TERREADELI 010414 300  003000-003500   10     109.80  726.8     96.27    -2.40    -9999
TERREADELI 010414 300  003500-004000   10     107.27  726.8     94.00    -4.70    -9999
TERREADELI 010414 300  004000-004500   10     108.60  726.7     95.07    -3.60    -9999
TERREADELI 010414 300  004500-005000   10     109.00  726.8     95.53    -3.20    -9999
TERREADELI 010414 300  005000-005500   10     109.80  726.8     96.20    -2.50    -9999
TERREADELI 010414 300  005500-010000   10     110.00  726.7     96.33    -2.40    -9999
TERREADELI 010414 300  010000-010500   10     109.80  726.7     96.13    -2.60    -9999
TERREADELI 010414 300  010500-011000   10     109.20  726.7     95.67    -3.00    -9999
TERREADELI 010414 300  011000-011500   10     109.73  726.6     96.07    -2.60    -9999
TERREADELI 010414 300  011500-012000   10     110.07  726.7     96.40    -2.30    -9999
TERREADELI 010414 300  012000-012500   10     109.47  726.7     95.93    -2.80    -9999
TERREADELI 010414 300  012500-013000   10     110.33  726.7     96.67    -2.00    -9999
TERREADELI 010414 300  013000-013500   10     109.93  726.8     96.33    -2.40    -9999
TERREADELI 010414 300  013500-014000   10     111.40  726.7     97.60    -1.10    -9999
TERREADELI 010414 300  014000-014500   10     109.60  726.7     95.93    -2.80    -9999
TERREADELI 010414 300  014500-015000   10     110.33  726.7     96.60    -2.10    -9999
TERREADELI 010414 300  015000-015500   10     110.67  726.7     96.93    -1.80    -9999
TERREADELI 010414 300  015500-020000   10     109.27  726.6     95.60    -3.10    -9999
TERREADELI 010414 300  020000-020500   10     109.47  726.7     95.93    -2.80    -9999
TERREADELI 010414 300  020500-021000   10     110.87  726.7     97.07    -1.60    -9999
TERREADELI 010414 300  021000-021500   10     110.40  726.7     96.73    -2.00    -9999
TERREADELI 010414 300  021500-022000   10     110.73  726.7     97.00    -1.70    -9999
TERREADELI 010414 300  022000-022500   10     110.80  726.7     97.07    -1.60    -9999
TERREADELI 010414 300  022500-023000   10     109.20  726.6     95.53    -3.20    -9999
TERREADELI 010414 300  023000-023500   10     109.53  726.7     95.93    -2.80    -9999
TERREADELI 010414 300  023500-024000   10     110.73  726.8     97.13    -1.60    -9999
TERREADELI 010414 300  024000-024500   10     110.00  726.7     96.33    -2.40    -9999
TERREADELI 010414 300  024500-025000   10     110.00  726.8     96.40    -2.30    -9999
TERREADELI 010414 300  025000-025500   10     109.73  726.7     96.07    -2.60    -9999
TERREADELI 010414 300  025500-030000   10     109.27  726.7     95.73    -3.00    -9999
TERREADELI 010414 300  030000-030500   10     109.47  726.8     96.00    -2.70    -9999
TERREADELI 010414 300  030500-031000   10     110.20  726.7     96.53    -2.20    -9999
TERREADELI 010414 300  031000-031500   10     111.47  726.7     97.60    -1.10    -9999
TERREADELI 010414 300  031500-032000   10     109.07  726.8     95.60    -3.10    -9999
TERREADELI 010414 300  032000-032500   10     109.87  726.7     96.20    -2.50    -9999
TERREADELI 010414 300  032500-033000   10     111.00  726.8     97.33    -1.40    -9999
TERREADELI 010414 300  033000-033500   10     111.13  726.9     97.60    -1.10    -9999
TERREADELI 010414 300  033500-034000   10     109.93  726.8     96.33    -2.40    -9999
TERREADELI 010414 300  034000-034500   10     110.40  726.9     96.87    -1.80    -9999
TERREADELI 010414 300  034500-035000   10     110.53  726.9     97.00    -1.70    -9999
TERREADELI 010414 300  035000-035500   10     110.07  726.9     96.60    -2.10    -9999
TERREADELI 010414 300  035500-040000   10     110.40  727.0     96.93    -1.80    -9999
TERREADELI 010414 300  040000-040500   10     110.53  726.9     96.93    -1.80    -9999
TERREADELI 010414 300  040500-041000   10     110.93  726.8     97.27    -1.40    -9999
TERREADELI 010414 300  041000-041500   10     108.47  726.9     95.20    -3.50    -9999
TERREADELI 010414 300  041500-042000   10     110.47  726.8     96.87    -1.80    -9999
TERREADELI 010414 300  042000-042500   10     109.80  726.8     96.20    -2.50    -9999
TERREADELI 010414 300  042500-043000   10     109.60  726.9     96.13    -2.60    -9999
TERREADELI 010414 300  043000-043500   10     110.40  726.8     96.73    -2.00    -9999
TERREADELI 010414 300  043500-044000   10     110.67  726.8     97.00    -1.70    -9999
TERREADELI 010414 300  044000-044500   10     109.80  726.8     96.27    -2.40    -9999
TERREADELI 010414 300  044500-045000   10     109.93  726.8     96.40    -2.30    -9999
TERREADELI 010414 300  045000-045500   10     109.53  726.9     96.07    -2.60    -9999
TERREADELI 010414 300  045500-050000   10     110.07  726.9     96.60    -2.10    -9999
TERREADELI 010414 300  050000-050500   10     109.67  726.9     96.27    -2.40    -9999
TERREADELI 010414 300  050500-051000   10     110.13  727.0     96.67    -2.00    -9999
TERREADELI 010414 300  051000-051500   10     108.47  727.0     95.27    -3.40    -9999
TERREADELI 010414 300  051500-052000   10     108.47  727.1     95.40    -3.30    -9999
TERREADELI 010414 300  052000-052500   10     107.00  727.1     94.13    -4.60    -9999
TERREADELI 010414 300  052500-053000   10     108.27  727.0     95.13    -3.60    -9999
TERREADELI 010414 300  053000-053500   10     109.47  727.1     96.27    -2.40    -9999
TERREADELI 010414 300  053500-054000   10     110.67  727.0     97.20    -1.50    -9999
TERREADELI 010414 300  054000-054500   10     108.93  726.9     95.53    -3.20    -9999
TERREADELI 010414 300  054500-055000   10     110.40  727.0     97.00    -1.70    -9999
TERREADELI 010414 300  055000-055500   10     110.73  727.0     97.27    -1.40    -9999
TERREADELI 010414 300  055500-060000   10     110.73  727.0     97.27    -1.40    -9999
TERREADELI 010414 300  060000-060500   10     110.80  727.0     97.33    -1.40    -9999
TERREADELI 010414 300  060500-061000   10     110.27  726.9     96.73    -2.00    -9999
TERREADELI 010414 300  061000-061500   10     109.67  727.0     96.33    -2.40    -9999
TERREADELI 010414 300  061500-062000   10     111.40  726.9     97.73    -1.00    -9999
TERREADELI 010414 300  062000-062500   10     111.27  726.9     97.67    -1.00    -9999
TERREADELI 010414 300  062500-063000   10     109.47  727.0     96.13    -2.60    -9999
TERREADELI 010414 300  063000-063500   10     111.67  727.1     98.20    -0.50    -9999
TERREADELI 010414 300  063500-064000   10     108.80  727.2     95.73    -3.00    -9999
TERREADELI 010414 300  064000-064500   10     108.60  727.1     95.47    -3.20    -9999
TERREADELI 010414 300  064500-065000   10     109.80  727.1     96.53    -2.20    -9999
TERREADELI 010414 300  065000-065500   10     110.60  727.2     97.33    -1.40    -9999
TERREADELI 010414 300  065500-070000   10     110.00  727.1     96.67    -2.00    -9999
TERREADELI 010414 300  070000-070500   10     110.67  727.2     97.47    -1.20    -9999
TERREADELI 010414 300  070500-071000   10     112.67  727.2     99.13     0.50    -9999
TERREADELI 010414 300  071000-071500   10     109.93  727.3     96.87    -1.80    -9999
TERREADELI 010414 300  071500-072000   10     108.00  727.2     95.07    -3.60    -9999
TERREADELI 010414 300  072000-072500   10     110.87  727.3     97.67    -1.00    -9999
TERREADELI 010414 300  072500-073000   10     108.80  727.3     95.87    -2.80    -9999
TERREADELI 010414 300  073000-073500   10     109.27  727.4     96.33    -2.40    -9999
TERREADELI 010414 300  073500-074000   10     109.33  727.4     96.40    -2.30    -9999
TERREADELI 010414 300  074000-074500   10     109.80  727.3     96.80    -1.90    -9999
TERREADELI 010414 300  074500-075000   10     109.27  727.4     96.33    -2.40    -9999
TERREADELI 010414 300  075000-075500   10     108.87  727.3     95.93    -2.80    -9999
TERREADELI 010414 300  075500-080000   10     110.73  727.4     97.67    -1.00    -9999
TERREADELI 010414 300  080000-080500   10     109.80  727.5     96.93    -1.80    -9999
TERREADELI 010414 300  080500-081000   10     108.67  727.6     95.93    -2.80    -9999
TERREADELI 010414 300  081000-081500   10     108.00  727.6     95.40    -3.30    -9999
TERREADELI 010414 300  081500-082000   10     109.40  727.5     96.53    -2.20    -9999
TERREADELI 010414 300  082000-082500   10     108.93  727.5     96.13    -2.60    -9999
