20km,20km,12km,12km,5km,5km,2km,2km,0km,0km
X,Y,X,Y,X,Y,X,Y,X,Y
1.986305710846775,21.19345528844035,1.9739235528999517,3.475123286256285,2.0101278076924967,0.1383111815634043,2.0195282438543707,0.015110095909491528,2.0171897086389636,0.0016427751250108896
1.9461623610431467,15.466651945334261,2.1135642990771837,4.623682968790588,2.1686624978576026,0.15607491307340118,2.1809188673215045,0.015841310023745975,2.1785610895607634,0.001691111771509068
2.009987274918452,26.360424085152715,2.2528615092244655,4.440560638864323,2.2930830981214454,0.12289879090147372,2.305297586751383,0.01198800432712666,2.3102468826029634,0.0012478618181947043
2.1891125098026167,41.74429348208521,2.3552636854995397,3.4393836268291778,2.3808298594582276,0.0962736865874918,2.393042272911708,0.00937241956413575,2.4053003402472584,0.0009528167673542639
2.073040667832169,33.32449530289364,2.450317736051394,2.6276519889179304,2.505193109390876,0.07179406780725342,2.517421180993992,0.007093903256119741,2.5296945291743658,0.0007317117479453484
2.313697382257981,34.691753951142765,2.5747621550289157,2.1164003751006115,2.661853575640361,0.05503535576554436,2.6784722301316863,0.005388571375659365,2.690753501713081,0.0005600071445464512
2.4733845309978273,23.936402769491153,2.7285254862910673,1.6792839804804696,2.801050186892547,0.04804361132822682,2.8250621920295256,0.0049780571002141834,2.844040749765358,0.0005324395899985708
2.3941711689046903,28.787219504239182,2.862138678073511,1.6435961379718607,2.8904964584574193,0.0572620868330352,2.972182518722642,0.0076068459021145585,2.9649007245326224,0.0007856038054917776
2.584497467176993,20.667656829805615,2.956236447786493,2.3789998475051277,2.9892891415253713,0.07698531975673768,3.1334282571425485,0.00695060614763856,3.1310467091787464,0.0007254515529086353
2.7228241431327938,15.849176559408727,3.026506488031939,2.5576429644822793,3.150511109742218,0.06877498352116773,3.294512131798756,0.005446758956958491,3.2921249242627963,0.0005654466462872988
2.9271820519496003,20.997191487706154,3.183516602649304,2.2394077995768966,3.3115995120561506,0.05412672840341975,3.455669580893008,0.004576916500843526,3.4532835052714796,0.0004756559321163835
2.8481189379529663,14.264443044569944,3.3446480177116333,1.8358603056025016,3.472786390925622,0.04677075210412343,3.616975310777783,0.004427035334970222,3.614579047926372,0.00045565364788739514
3.0393899380908724,25.09859394224969,3.505900547618128,1.688326368100738,3.63407174635063,0.044372941885234135,3.763423783371689,0.003575960941212407,3.761031796641463,0.0003695530409623021
3.2006541229844263,23.338292476011386,3.6671564732679185,1.5576595057452167,3.7731918118893866,0.03602203940813116,3.9098615656626317,0.002859349008414585,3.90746530281122,0.0002942991658493444
3.371977729557301,19.832759414481153,3.7916531004510743,1.3183084645125676,3.912321215722205,0.029503028384797333,4.049191318349818,0.0028322227675071244,4.054104817407503,0.00028496759800811624
3.512991610080239,19.491271992910214,3.916139163099536,1.1046075382728564,4.037024039984293,0.030365682699461834,,,4.171109195167418,0.0002074876911332382
3.68436496836948,17.36426789303985,4.077456212128625,1.0799720553291094,,,,,,
3.816168642214614,14.329408662610007,4.165330125186543,0.9544882328716857,,,,,,
3.9480693372967304,12.96527191401627,,,,,,,,
